,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
221,11,2016.0,1,0.28,3.75,0.06,0.69,4.77
222,5,2011.0,9,2.99,1.31,0.04,0.41,4.76
223,13,2000.0,9,2.36,2.1,0.02,0.25,4.73
224,7,2003.0,3,1.73,2.19,0.0,0.79,4.7
225,13,2000.0,1,3.05,1.41,0.02,0.2,4.68
226,1,2008.0,8,1.87,1.12,1.32,0.37,4.68
227,7,2002.0,9,1.94,1.95,0.08,0.7,4.67
228,5,2011.0,3,2.08,2.04,0.06,0.47,4.64
229,13,1996.0,9,2.29,1.97,0.13,0.24,4.63
230,1,2007.0,6,3.06,1.12,0.0,0.44,4.62
231,8,1991.0,9,2.42,0.91,1.15,0.13,4.61
232,19,2002.0,9,2.6,0.99,0.89,0.13,4.6
233,1,2009.0,1,1.89,1.99,0.22,0.48,4.58
234,10,2013.0,9,1.78,1.39,1.1,0.3,4.58
235,20,2015.0,7,1.55,1.15,1.44,0.43,4.57
236,11,2014.0,9,1.78,1.87,0.07,0.82,4.55
237,5,2007.0,6,3.19,0.92,0.01,0.42,4.53
238,7,2004.0,1,4.18,0.26,0.01,0.08,4.53
239,16,1981.0,2,4.21,0.24,0.0,0.05,4.5
240,7,2006.0,1,3.63,0.24,0.01,0.61,4.49
241,7,2002.0,9,2.71,1.51,0.03,0.23,4.48
242,13,2000.0,4,0.2,0.14,4.1,0.02,4.47
243,11,2015.0,9,1.96,1.69,0.08,0.74,4.47
244,6,2014.0,7,1.54,1.94,0.19,0.77,4.45
245,7,2005.0,9,2.71,1.29,0.02,0.43,4.45
246,20,2012.0,6,2.55,1.11,0.46,0.33,4.44
247,1,2010.0,6,2.67,1.35,0.01,0.39,4.42
248,7,2001.0,1,2.66,1.29,0.01,0.46,4.41
249,7,2006.0,1,0.1,2.39,1.05,0.86,4.39
250,5,2006.0,4,2.82,1.05,0.13,0.4,4.39
251,2,1987.0,11,2.19,0.5,1.61,0.08,4.38
252,7,2005.0,3,2.03,1.79,0.08,0.47,4.37
253,6,2006.0,7,1.73,1.73,0.14,0.75,4.35
254,21,1991.0,2,3.03,0.91,0.26,0.13,4.34
255,7,2005.0,4,2.2,0.58,1.38,0.17,4.33
256,5,2013.0,1,0.92,2.93,0.01,0.46,4.31
257,5,2014.0,7,2.75,1.18,0.0,0.37,4.31
258,16,1980.0,7,4.0,0.26,0.0,0.05,4.31
259,5,2008.0,4,2.51,1.27,0.11,0.41,4.31
260,18,2015.0,7,2.64,1.2,0.03,0.39,4.26
261,20,2013.0,2,2.11,1.11,0.72,0.3,4.25
262,6,2009.0,9,2.23,1.34,0.07,0.61,4.25
263,6,2011.0,9,1.41,2.02,0.1,0.72,4.24
264,9,2001.0,6,3.0,1.11,0.05,0.07,4.24
265,7,2004.0,9,1.46,0.0,0.83,1.93,4.23
266,17,2006.0,2,2.45,1.02,0.0,0.75,4.22
267,15,1995.0,12,1.7,2.27,0.0,0.23,4.21
268,10,2011.0,9,2.03,1.27,0.62,0.3,4.21
269,7,2005.0,1,0.78,2.55,0.04,0.84,4.21
270,7,2003.0,6,0.88,2.3,0.2,0.83,4.2
271,11,2016.0,7,1.3,2.07,0.18,0.65,4.2
272,6,2007.0,3,1.28,1.83,0.57,0.53,4.2
273,5,2011.0,9,2.25,1.47,0.04,0.43,4.19
274,6,2009.0,10,2.02,1.06,0.58,0.53,4.19
275,5,2011.0,1,0.84,2.79,0.02,0.53,4.19
276,2,1989.0,9,3.38,0.44,0.31,0.04,4.17
277,2,1984.0,3,2.04,0.48,1.57,0.07,4.16
278,13,1997.0,9,3.79,0.27,0.0,0.11,4.16
279,7,2002.0,1,3.36,0.21,0.01,0.56,4.14
280,11,2014.0,9,1.4,1.86,0.11,0.77,4.14
281,15,1997.0,7,4.03,0.0,0.09,0.0,4.12
282,8,1995.0,2,1.65,0.61,1.76,0.09,4.12
283,7,2006.0,1,0.71,2.48,0.03,0.89,4.11
284,1,2011.0,9,2.14,1.2,0.37,0.4,4.1
285,8,1992.0,10,1.42,0.51,2.1,0.07,4.1
286,1,2007.0,6,2.13,1.5,0.05,0.42,4.1
287,18,2015.0,4,2.45,1.26,0.01,0.37,4.09
288,15,2007.0,4,2.57,1.52,0.0,0.0,4.09
289,5,2010.0,4,2.65,1.06,0.04,0.33,4.08
290,7,2007.0,9,2.32,0.04,0.04,1.67,4.07
291,5,2007.0,3,2.35,1.28,0.03,0.41,4.06
292,7,2005.0,1,0.12,2.26,0.9,0.77,4.06
293,13,1996.0,6,2.28,1.55,0.16,0.06,4.05
294,7,2000.0,10,1.68,1.51,0.51,0.35,4.05
295,11,2014.0,7,1.12,2.12,0.1,0.69,4.03
296,12,1997.0,7,2.78,0.58,0.64,0.04,4.03
297,11,2014.0,6,1.38,1.87,0.12,0.65,4.02
298,2,1984.0,1,1.22,0.28,2.46,0.04,4.01
299,6,2008.0,4,2.15,1.2,0.07,0.59,4.01
300,4,2007.0,5,0.92,1.78,0.92,0.37,4.0
301,5,2009.0,7,2.67,0.89,0.05,0.37,3.99
302,7,2005.0,6,2.08,1.35,0.0,0.54,3.98
303,1,2009.0,1,2.1,1.36,0.06,0.4,3.92
304,11,2014.0,9,1.18,1.96,0.08,0.7,3.92
305,3,1994.0,2,1.97,0.76,1.07,0.11,3.91
306,7,2003.0,1,2.29,1.17,0.01,0.42,3.9
307,6,2013.0,9,1.33,1.71,0.13,0.73,3.89
308,10,2014.0,4,0.67,0.49,2.62,0.11,3.89
309,6,2006.0,3,1.53,1.61,0.06,0.67,3.88
310,15,2011.0,4,1.15,2.09,0.0,0.64,3.88
311,7,2005.0,10,0.93,1.94,0.31,0.7,3.87
312,2,1988.0,4,0.1,0.0,3.77,0.0,3.87
313,6,2010.0,1,2.12,1.14,0.1,0.51,3.87
314,11,2015.0,1,2.48,0.65,0.03,0.69,3.85
315,7,2004.0,1,0.16,1.89,1.12,0.68,3.85
316,4,2007.0,6,0.87,1.57,1.05,0.35,3.84
317,13,1995.0,6,2.12,1.44,0.22,0.06,3.84
318,3,1992.0,9,2.21,0.96,0.54,0.13,3.83
319,4,2009.0,4,2.26,0.48,0.81,0.27,3.83
320,1,2007.0,6,1.06,1.93,0.41,0.43,3.82
321,10,2011.0,8,1.44,1.37,0.73,0.27,3.81
322,11,2015.0,9,1.49,1.58,0.1,0.61,3.79
323,1,2011.0,1,1.14,1.91,0.27,0.46,3.78
324,5,2008.0,9,2.4,1.03,0.0,0.36,3.78
325,13,1996.0,9,1.82,1.24,0.47,0.25,3.77
326,17,2007.0,2,1.4,1.4,0.1,0.87,3.77
327,1,2013.0,6,1.98,1.47,0.0,0.32,3.76
328,15,2002.0,8,2.03,1.56,0.0,0.17,3.76
329,1,2007.0,2,1.98,0.88,0.59,0.32,3.76
330,13,2001.0,9,1.37,2.0,0.14,0.22,3.73
331,11,2015.0,4,0.96,2.0,0.21,0.56,3.73
332,13,1999.0,9,1.3,0.77,1.54,0.11,3.72
333,13,2000.0,2,1.93,1.58,0.0,0.19,3.71
334,7,2004.0,1,0.58,2.48,0.04,0.59,3.7
335,3,1998.0,12,1.49,0.73,1.38,0.1,3.7
336,6,2013.0,7,1.3,1.51,0.27,0.61,3.69
337,4,2007.0,8,1.59,1.61,0.08,0.41,3.69
338,4,2009.0,6,0.0,0.0,3.67,0.0,3.67
339,7,2002.0,1,2.13,1.18,0.01,0.35,3.67
340,17,2005.0,3,1.65,1.22,0.0,0.79,3.66
341,12,1998.0,2,1.87,1.13,0.55,0.1,3.65
342,7,2002.0,7,2.53,0.81,0.06,0.24,3.65
343,1,2008.0,6,2.33,0.97,0.0,0.35,3.65
344,6,2013.0,3,0.71,1.8,0.4,0.74,3.64
345,7,2001.0,2,2.08,1.09,0.15,0.33,3.64
346,12,1999.0,8,2.23,0.68,0.66,0.06,3.63
347,6,2009.0,1,0.6,2.46,0.05,0.52,3.63
348,7,2007.0,1,0.05,0.0,0.64,2.93,3.63
349,11,2013.0,7,1.78,1.42,0.05,0.38,3.63
350,7,2005.0,9,2.08,0.83,0.46,0.25,3.62
351,11,2016.0,7,1.28,1.61,0.15,0.57,3.61
352,7,2004.0,7,1.93,1.22,0.03,0.44,3.61
353,15,1994.0,7,2.05,1.4,0.0,0.16,3.61
354,7,2001.0,3,2.02,1.17,0.0,0.42,3.61
355,4,2007.0,8,1.61,1.5,0.1,0.39,3.61
356,19,2001.0,9,2.38,0.67,0.46,0.1,3.6
357,7,2005.0,7,2.18,1.02,0.03,0.37,3.59
358,13,2000.0,10,2.01,1.35,0.06,0.16,3.58
359,13,1997.0,2,1.57,1.79,0.0,0.2,3.56
360,7,2006.0,9,1.56,1.4,0.07,0.5,3.54
361,7,2002.0,9,1.23,1.77,0.05,0.49,3.54
362,13,1997.0,9,1.66,1.58,0.12,0.18,3.54
363,7,2001.0,7,1.9,1.13,0.1,0.41,3.53
364,7,2005.0,9,1.98,1.14,0.01,0.41,3.53
365,5,2013.0,7,2.14,1.08,0.02,0.29,3.53
366,5,2010.0,1,0.71,2.4,0.02,0.4,3.53
367,13,2000.0,9,1.96,1.33,0.0,0.23,3.52
368,13,1999.0,2,2.14,1.21,0.01,0.17,3.52
369,5,2008.0,7,2.66,0.5,0.05,0.3,3.52
370,4,2009.0,1,1.22,1.66,0.27,0.38,3.52
371,5,2009.0,9,2.11,0.94,0.12,0.34,3.51
372,8,1996.0,2,1.17,0.5,1.75,0.08,3.51
373,5,2010.0,9,2.84,0.39,0.03,0.24,3.5
374,2,1985.0,9,1.64,0.38,1.42,0.06,3.5
375,5,2009.0,9,2.2,0.97,0.02,0.31,3.5
376,4,2006.0,6,0.59,1.83,0.73,0.35,3.5
377,7,2006.4064433147546,1,0.59,2.36,0.04,0.51,3.49
378,18,2015.0,7,1.94,1.22,0.02,0.31,3.49
379,5,2010.0,7,2.09,1.02,0.04,0.32,3.48
380,4,2008.0,6,2.11,1.01,0.01,0.35,3.48
381,18,2014.0,9,2.26,0.89,0.0,0.3,3.46
382,6,2012.0,7,0.88,1.75,0.1,0.72,3.45
383,10,2013.0,4,0.0,0.0,3.44,0.0,3.44
384,5,2009.0,7,2.39,0.73,0.03,0.29,3.44
385,7,2002.0,10,1.55,1.27,0.33,0.29,3.44
386,11,2013.0,7,1.34,1.54,0.17,0.38,3.43
387,6,2011.0,2,1.82,1.07,0.06,0.47,3.42
388,13,1998.0,9,1.13,2.07,0.0,0.22,3.42
389,8,1994.0,4,0.86,0.0,2.55,0.02,3.42
390,7,2004.0,9,1.75,1.2,0.02,0.43,3.41
391,3,1990.0,3,1.73,0.69,0.59,0.4,3.41
392,7,2002.0,1,0.46,2.28,0.05,0.61,3.4
393,13,2000.0,6,1.56,1.47,0.19,0.17,3.39
394,5,2008.0,9,2.03,1.03,0.0,0.32,3.38
395,11,2015.0,9,1.08,1.35,0.48,0.47,3.38
396,4,2009.0,9,1.43,0.94,0.74,0.27,3.38
397,13,1998.0,10,2.47,0.76,0.0,0.13,3.36
398,12,2000.0,9,1.9,0.67,0.73,0.06,3.36
399,4,2008.0,5,0.65,1.61,0.82,0.28,3.36
400,13,1998.0,11,1.63,1.53,0.0,0.18,3.34
401,5,2013.0,9,1.9,1.14,0.01,0.29,3.34
402,4,2006.0,6,0.0,0.99,2.32,0.02,3.33
403,7,2002.0,7,1.45,1.29,0.12,0.46,3.33
404,7,2002.0,2,1.44,1.01,0.57,0.3,3.33
405,1,2012.0,6,1.15,1.17,0.76,0.24,3.32
406,7,2005.0,9,1.47,1.39,0.03,0.43,3.32
407,7,2001.0,7,1.99,1.05,0.05,0.22,3.31
408,7,2003.0,9,1.5,1.28,0.05,0.46,3.28
409,11,2015.0,9,0.8,1.92,0.06,0.5,3.28
410,18,2014.0,7,2.13,0.92,0.0,0.23,3.28
411,7,2003.0,9,1.89,1.05,0.02,0.31,3.27
412,1,2008.0,6,1.36,1.13,0.46,0.32,3.27
413,17,2009.0,3,0.5,1.59,0.31,0.87,3.27
414,10,2015.0,9,0.25,0.19,2.78,0.04,3.26
415,13,1995.0,10,0.95,1.3,0.77,0.22,3.24
416,18,2015.0,1,0.88,2.11,0.0,0.23,3.23
417,6,2011.0,11,1.27,1.33,0.12,0.51,3.23
418,11,2015.0,1,2.33,0.3,0.0,0.59,3.22
419,10,2014.0,4,0.03,0.0,3.18,0.0,3.22
420,13,1999.0,7,1.72,1.33,0.0,0.16,3.21
421,2,1983.0,1,0.73,0.1,2.35,0.02,3.2
422,8,1995.0,10,2.26,0.72,0.12,0.1,3.2
423,13,2000.0,10,1.76,1.21,0.07,0.16,3.2
424,17,2007.0,4,1.35,0.6,0.8,0.44,3.19
425,17,2008.0,9,1.48,1.01,0.04,0.66,3.19
426,8,1995.0,4,0.0,0.0,3.19,0.0,3.19
427,5,2010.0,6,2.15,0.77,0.01,0.26,3.19
428,7,2003.0,9,1.78,1.12,0.09,0.19,3.18
429,20,2015.0,2,1.18,0.87,0.93,0.2,3.18
430,6,2010.0,4,1.52,1.08,0.1,0.47,3.17
431,1,2006.4064433147546,9,1.86,1.02,0.0,0.29,3.17
432,4,2008.0,6,0.58,0.51,1.93,0.14,3.17
433,7,2001.0,8,2.06,0.56,0.38,0.17,3.17
434,4,2008.0,11,1.88,0.98,0.0,0.3,3.16
435,19,2001.0,8,1.92,0.16,0.99,0.09,3.15
436,4,2008.0,9,1.79,1.06,0.0,0.29,3.15
437,4,2005.0,2,1.22,1.57,0.06,0.29,3.15
438,6,2012.0,7,0.88,0.97,0.88,0.42,3.15
439,18,2014.0,7,1.89,0.99,0.03,0.24,3.15
440,7,2007.0,1,0.68,0.0,0.0,2.46,3.14
441,13,2000.0,9,1.7,1.25,0.02,0.16,3.13
442,13,1998.0,3,2.14,0.86,0.0,0.13,3.12
443,12,1999.0,3,2.31,0.62,0.14,0.04,3.12
444,4,2006.0,6,0.91,1.0,1.03,0.17,3.12
445,6,2007.0,4,1.69,0.87,0.14,0.42,3.12
446,2,1990.0,4,0.08,0.0,3.03,0.01,3.12
447,6,2010.0,11,1.29,1.27,0.06,0.5,3.12
